LABEL	SRATE	SIZE	NGEN	CLADE_SIZE	HEIGHT_NGEN	HEIGHT_EDGE	DEPTH_NGEN	DEPTH_EDGE	TOTAL_NGEN
Aegotheles_bennettii	0.077403	142672.08206656657	5804727.999999999	1	5804727.999999999	1	9299553.999999998	12	5804727.999999999
Chaetura_pelagica	0.062345	63541.636835190155	5055866.999999999	1	5055866.999999999	1	9299553.999999998	14	5055866.999999999
Hemiprocne_comata	0.038503	63541.636835190155	5055866.999999999	1	5055866.999999999	1	9299553.999999998	14	5055866.999999999
N207	0.023296	63541.636835190155	447364.99999999994	2	5503231.999999999	2	4243686.999999999	13	10559098.999999998
Calypte_anna	0.016288	512104.23656106315	1778208.9999999998	1	1778208.9999999998	1	9299553.999999998	14	1778208.9999999998
Oreotrochilus_melanogaster	0.013683	512104.23656106315	1778208.9999999998	1	1778208.9999999998	1	9299553.999999998	14	1778208.9999999998
N210	0.066587	512104.23656106315	3725022.9999999995	2	5503231.999999999	2	7521344.999999999	13	7281440.999999999
N211	0.011678	88375.34886001545	301495.99999999994	4	5804727.999999999	3	3796321.9999999995	12	18142035.999999996
N212	0.010461	142672.08206656657	264679	5	6069407	4	3494825.9999999995	11	24211443
N270	0.001577	267300.87943508016	97514.99999999999	16	6069927	8	3327141.9999999995	12	53910638
N272	0.003605	234552.49944452482	95428.99999999999	26	6227258	10	3167724.9999999995	10	96074181
N273	0.004535	330119.51399464085	119580.99999999999	27	6346839	11	3072295.9999999995	9	102421020
Phaethon_lepturus	0.066221	1128107.689071676	5965764.999999999	1	5965764.999999999	1	9299553.999999998	10	5965764.999999999
Eurypyga_helias	0.042002	378331.96540389827	3156405.9999999995	1	3156405.9999999995	1	9299553.999999998	11	3156405.9999999995
Rhynochetos_jubatus	0.03786	378331.96540389827	3156405.9999999995	1	3156405.9999999995	1	9299553.999999998	11	3156405.9999999995
Eurypygiformes	0.049554	378331.96540389827	2809358.9999999995	2	5965764.999999999	2	6143147.999999999	10	9122170.999999998
N220	0.005478	1128107.689071676	381073.99999999994	3	6346838.999999999	3	3333788.9999999995	9	15469009.999999996
Gavia_stellata	0.048308	330119.51399464085	6227257.999999999	1	6227257.999999999	1	9299553.999999998	10	6227257.999999999
Aptenodytes_forsteri	0.010176	614871.3123625184	1434013.9999999998	1	1434013.9999999998	1	9299553.999999998	13	1434013.9999999998
Pygoscelis_adeliae	0.013406	614871.3123625184	1434013.9999999998	1	1434013.9999999998	1	9299553.999999998	13	1434013.9999999998
Sphenisciformes	0.016254	614871.3123625184	4630944.999999999	2	6064958.999999999	2	7865539.999999998	12	7498972.999999999
Thalassarche_chlororhynchos	0.025529	281597.98977083544	5448517.999999999	1	5448517.999999999	1	9299553.999999998	13	5448517.999999999
Fregetta_grallaria	0.014401	606066.4971744586	1903907.9999999995	1	1903907.9999999995	1	9299553.999999998	15	1903907.9999999995
Oceanites_oceanicus	0.016263	606066.4971744586	1903907.9999999995	1	1903907.9999999995	1	9299553.999999998	15	1903907.9999999995
N228	0.014176	606066.4971744586	3372126.999999999	2	5276034.999999998	2	7395645.999999998	14	7179942.999999998
Hydrobates_tethys	0.033375	226563.24098669103	5070040.999999999	1	5070040.999999999	1	9299553.999999998	15	5070040.999999999
